Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2023-06-02,44.06,46.0,43.8,44.89,45.12,49328.0,299.0,2225874.0,,,2.2,0.83
2023-06-01,43.6,44.88,43.6,44.06,44.27,32756.0,184.0,1450095.0,23576.0,71.97,1.28,0.46
2023-05-31,44.22,45.47,43.15,44.24,44.21,51219.0,185.0,2264618.0,40324.0,78.73,2.32,0.02
2023-05-30,45.75,46.0,44.71,45.28,45.01,28644.0,140.0,1289151.0,24090.0,84.1,1.29,-0.47
2023-05-29,43.47,46.9,43.1,45.15,45.01,120298.0,365.0,5414774.0,93227.0,77.5,3.8,1.68
2023-05-26,43.74,43.84,43.05,43.44,43.52,58304.0,205.0,2537470.0,46926.0,80.48,0.79,-0.3
2023-05-25,44.48,44.48,43.03,43.29,43.53,73209.0,216.0,3186869.0,54640.0,74.64,1.45,-1.19
2023-05-24,44.9,44.9,43.4,44.16,44.24,40842.0,150.0,1806904.0,31057.0,76.04,1.5,-0.74
2023-05-23,44.75,44.95,43.81,44.78,44.44,67352.0,186.0,2993402.0,60419.0,89.71,1.14,0.03
2023-05-22,45.0,45.0,43.7,44.38,44.43,41465.0,135.0,1842421.0,32813.0,79.13,1.3,-0.62
2023-05-19,44.78,45.48,43.26,44.98,44.35,99963.0,264.0,4433408.0,79288.0,79.32,2.22,0.2
2023-05-18,45.0,45.25,44.26,44.5,44.67,23724.0,110.0,1059717.0,20129.0,84.85,0.99,-0.5
2023-05-17,44.7,47.0,44.0,44.5,45.26,107182.0,375.0,4850957.0,66080.0,61.65,3.0,-0.2
2023-05-16,45.25,45.35,43.66,44.02,44.15,136489.0,360.0,6026146.0,120612.0,88.37,1.69,-1.23
2023-05-15,46.0,46.48,44.5,45.65,45.47,107593.0,245.0,4891869.0,94549.0,87.88,1.98,-0.35
2023-05-12,44.48,46.4,43.75,45.88,45.34,58127.0,283.0,2635315.0,44388.0,76.36,2.65,1.4
2023-05-11,44.94,44.95,44.05,44.15,44.23,32479.0,153.0,1436439.0,29825.0,91.83,0.9,-0.79
2023-05-10,44.0,44.95,42.1,44.37,43.54,134485.0,343.0,5855156.0,104694.0,77.85,2.85,0.37
2023-05-09,44.87,45.68,43.71,43.96,44.64,58084.0,194.0,2592778.0,52349.0,90.13,1.97,-0.91
2023-05-08,45.0,46.28,44.35,44.87,45.23,50125.0,171.0,2267008.0,38601.0,77.01,1.93,-0.13
2023-05-05,46.07,47.0,45.0,45.17,45.84,46186.0,202.0,2117182.0,37559.0,81.32,2.0,-0.9
2023-05-04,46.0,47.6,45.6,46.07,46.43,75202.0,197.0,3491962.0,69023.0,91.78,2.0,0.07
2023-05-03,44.89,47.0,44.85,45.59,46.02,100322.0,272.0,4616387.0,79944.0,79.69,2.15,0.7
2023-05-02,44.0,45.28,43.5,44.89,44.3,42332.0,215.0,1875138.0,37753.0,89.18,1.78,0.89
2023-04-28,43.8,44.45,43.2,43.69,43.71,113674.0,256.0,4969245.0,96924.0,85.26,1.25,-0.11
2023-04-27,44.5,45.0,43.75,44.12,44.29,127199.0,224.0,5634273.0,115138.0,90.52,1.25,-0.38
2023-04-26,45.94,46.0,43.9,44.68,44.69,191328.0,417.0,8550856.0,155201.0,81.12,2.1,-1.26
2023-04-25,45.49,46.0,45.49,45.82,45.74,23952.0,167.0,1095521.0,19926.0,83.19,0.51,0.33
2023-04-24,46.2,46.2,45.3,45.47,45.63,38330.0,136.0,1748971.0,34211.0,89.25,0.9,-0.73
2023-04-21,46.4,46.7,45.5,46.35,46.05,55138.0,189.0,2539313.0,44640.0,80.96,1.2,-0.05
2023-04-20,46.96,47.28,45.55,45.98,46.15,77755.0,268.0,3588144.0,62467.0,80.34,1.73,-0.98
2023-04-19,47.0,48.0,46.0,46.43,46.82,99640.0,268.0,4665116.0,79769.0,80.06,2.0,-0.57
2023-04-18,48.95,50.75,46.1,47.02,47.89,143428.0,381.0,6868266.0,122968.0,85.74,4.65,-1.93
2023-04-17,48.5,49.15,48.05,48.17,48.5,43323.0,154.0,2101013.0,33486.0,77.29,1.1,-0.33
2023-04-13,50.47,50.47,47.86,49.15,49.35,122650.0,413.0,6053293.0,99475.0,81.1,2.61,-1.32
2023-04-12,49.98,51.0,49.3,50.07,49.99,193359.0,417.0,9665903.0,166630.0,86.18,1.7,0.09
2023-04-11,48.87,50.05,47.76,49.9,49.21,270964.0,509.0,13335488.0,208486.0,76.94,2.29,1.03
2023-04-10,51.49,51.49,48.0,48.16,49.9,339774.0,517.0,16954583.0,280083.0,82.43,3.49,-3.33
2023-04-06,48.4,49.04,47.65,49.04,48.8,245835.0,441.0,11996688.0,203526.0,82.79,1.39,0.64
2023-04-05,44.5,46.71,44.5,46.71,46.15,105792.0,289.0,4882588.0,93036.0,87.94,2.21,2.21
2023-04-03,44.5,44.58,43.71,44.49,44.42,45481.0,124.0,2020092.0,40074.0,88.11,0.87,-0.01
2023-03-31,44.55,46.2,43.83,44.43,44.93,105617.0,289.0,4745278.0,86329.0,81.74,2.37,-0.12
2023-03-29,44.7,45.2,43.05,44.32,44.31,140104.0,282.0,6208313.0,118461.0,84.55,2.15,-0.38
2023-03-28,43.7,44.8,42.1,43.28,42.79,209234.0,318.0,8954150.0,175477.0,83.87,2.7,-0.42
2023-03-27,45.5,45.62,43.82,43.91,44.29,232815.0,406.0,10311183.0,200780.0,86.24,1.8,-1.59
2023-03-24,47.0,48.5,46.0,46.12,46.74,218309.0,406.0,10203285.0,183045.0,83.85,2.5,-0.88
2023-03-23,46.3,48.25,46.3,46.96,47.05,99364.0,229.0,4675302.0,82182.0,82.71,1.95,0.66
2023-03-22,48.0,48.4,46.55,46.77,47.01,47261.0,189.0,2221889.0,37568.0,79.49,1.85,-1.23
2023-03-21,50.99,50.99,47.55,47.93,49.9,403571.0,658.0,20140141.0,256164.0,63.47,3.44,-3.06
2023-03-20,48.0,48.57,46.51,48.57,48.18,268253.0,409.0,12925143.0,243911.0,90.93,2.06,0.57
2023-03-17,46.5,47.75,45.6,46.26,46.62,120524.0,345.0,5618576.0,85047.0,70.56,2.15,-0.24
2023-03-16,44.31,46.39,44.01,45.57,45.31,132093.0,317.0,5985775.0,102455.0,77.56,2.38,1.26
2023-03-15,45.99,46.29,44.67,45.15,45.41,137368.0,281.0,6237342.0,82863.0,60.32,1.62,-0.84
2023-03-14,45.78,46.9,44.58,45.22,46.04,340336.0,659.0,15668368.0,253892.0,74.6,2.32,-0.56
2023-03-13,47.0,48.2,44.08,44.67,45.9,152707.0,428.0,7009675.0,135897.0,88.99,4.12,-2.33
2023-03-10,47.73,47.73,44.11,46.4,47.17,459478.0,910.0,21674548.0,326395.0,71.04,3.62,-1.33
2023-03-09,45.47,45.47,45.02,45.46,45.46,221407.0,392.0,10066237.0,166258.0,75.09,0.45,-0.01
2023-03-08,42.39,43.31,41.5,43.31,43.17,86941.0,161.0,3753135.0,80715.0,92.84,1.81,0.92
2023-03-06,42.0,42.29,41.1,41.25,41.54,63513.0,197.0,2638362.0,48932.0,77.04,1.19,-0.75
2023-03-03,44.89,44.89,41.95,42.03,42.7,165132.0,407.0,7050311.0,124764.0,75.55,2.94,-2.86
2023-03-02,44.1,44.79,42.0,44.15,43.18,71485.0,225.0,3086876.0,55906.0,78.21,2.79,0.05
2023-03-01,43.25,43.88,42.1,43.43,43.13,73996.0,204.0,3191598.0,68537.0,92.62,1.78,0.18
2023-02-28,41.6,43.05,41.6,42.9,42.83,116485.0,220.0,4989496.0,113062.0,97.06,1.45,1.3
2023-02-27,42.0,42.9,40.2,42.4,41.74,63156.0,181.0,2636243.0,63156.0,100.0,2.7,0.4
2023-02-24,40.3,43.4,40.3,42.1,42.53,118633.0,287.0,5045271.0,118633.0,100.0,3.1,1.8
2023-02-23,41.05,42.0,40.05,41.35,41.12,57806.0,119.0,2377184.0,57806.0,100.0,1.95,0.3
2023-02-22,41.25,42.5,40.05,40.3,41.29,76218.0,214.0,3147240.0,76218.0,100.0,2.45,-0.95
